date,closing,volume,opening,highest,lowest,daily_movement,year,month
2022-06-23,705.21,34734230,713.715,717.95,685.91,-8.504999999999995,2022,6
2022-06-22,708.26,33842420,703.51,740.5,701.48,4.75,2022,6
2022-06-21,711.11,40930990,673.81,730.7321,673.0,37.30000000000007,2022,6
2022-06-17,650.28,30880590,640.3,662.9082,639.59,9.980000000000018,2022,6
2022-06-16,639.3,35796900,668.21,675.5,626.08,-28.910000000000082,2022,6
2022-06-15,699.0,39710650,662.75,706.9899,654.45,36.25,2022,6
2022-06-14,662.67,32662930,654.86,678.99,635.21,7.809999999999945,2022,6
2022-06-13,647.21,34255750,669.5,679.9,644.05,-22.289999999999964,2022,6
2022-06-10,696.69,32696970,705.47,718.5,683.74,-8.779999999999973,2022,6
2022-06-09,719.12,32163770,748.02,766.6399,717.98,-28.899999999999977,2022,6
2022-06-08,725.6,25403540,720.26,749.89,717.53,5.340000000000032,2022,6
2022-06-07,716.66,24269530,702.0,719.99,690.28,14.659999999999968,2022,6
2022-06-06,714.84,28068170,733.06,734.6,703.05,-18.219999999999914,2022,6
2022-06-03,703.55,37464580,729.675,743.3899,700.2534,-26.125,2022,6
2022-06-02,775.0,31157710,732.47,792.63,726.2,42.52999999999997,2022,6
2022-06-01,740.37,25749320,755.16,771.98,730.92,-14.789999999999964,2022,6
2022-05-31,758.26,33971460,773.84,778.8,734.23,-15.580000000000041,2022,5
2022-05-27,759.63,29764990,723.25,759.8,720.5311,36.379999999999995,2022,5
2022-05-26,707.73,35334450,661.42,718.6699,653.66,46.31000000000006,2022,5
2022-05-25,658.8,30713110,623.85,669.32,623.0101,34.94999999999993,2022,5
2022-05-24,628.16,29697510,653.53,653.92,620.57,-25.370000000000005,2022,5
2022-05-23,674.9,29634550,655.02,679.9551,638.06,19.879999999999995,2022,5
2022-05-20,663.9,48324440,713.99,721.582,633.0,-50.09000000000003,2022,5
2022-05-19,709.42,30098890,707.0,734.0,694.11,2.419999999999959,2022,5
2022-05-18,709.81,29270600,744.52,760.5,700.81,-34.710000000000036,2022,5
2022-05-17,761.61,26745370,747.36,764.48,728.85,14.25,2022,5
2022-05-16,724.37,28699510,767.16,769.76,719.0885,-42.789999999999964,2022,5
2022-05-13,769.59,30716910,773.48,787.3499,751.565,-3.8899999999999864,2022,5
2022-05-12,728.0,46770950,701.0,759.66,680.0,27.0,2022,5
2022-05-11,734.0,32408150,795.0,809.77,727.2,-61.0,2022,5
2022-05-10,800.04,28133880,819.31,825.36,774.25,-19.269999999999982,2022,5
2022-05-09,787.11,30270070,836.45,845.63,781.15,-49.34000000000003,2022,5
2022-05-06,865.65,24301040,887.0,888.0,843.105,-21.350000000000023,2022,5
2022-05-05,873.28,30839730,939.21,945.6,857.7,-65.93000000000006,2022,5
2022-05-04,952.62,27214570,903.94,955.5,885.28,48.67999999999995,2022,5
2022-05-03,909.25,21236530,903.18,924.08,888.59,6.07000000000005,2022,5
2022-05-02,902.94,25260460,860.77,906.3599,848.03,42.17000000000007,2022,5
2022-04-29,870.76,29377670,902.25,934.3999,870.0,-31.49000000000001,2022,4
2022-04-28,877.51,41649510,899.98,900.0,821.7,-22.470000000000027,2022,4
2022-04-27,881.51,25652130,898.58,918.0,877.36,-17.07000000000005,2022,4
2022-04-26,876.42,45377890,995.43,1000.0,875.0,-119.00999999999999,2022,4
2022-04-25,998.02,22780450,978.97,1008.62,975.3,19.049999999999955,2022,4
2022-04-22,1005.05,23232190,1014.91,1034.85,994.0001,-9.860000000000014,2022,4
2022-04-21,1008.78,35138780,1074.73,1092.22,996.415,-65.95000000000005,2022,4
2022-04-20,977.2,23570440,1030.0,1034.0,975.2501,-52.799999999999955,2022,4
2022-04-19,1028.15,16615940,1005.06,1034.94,995.325,23.090000000000146,2022,4
2022-04-18,1004.29,17238410,989.03,1014.92,973.41,15.259999999999991,2022,4
2022-04-14,985.0,19474140,999.29,1012.7099,982.19,-14.289999999999964,2022,4
2022-04-13,1022.37,18373740,981.075,1026.24,973.097,41.29499999999996,2022,4
